customer_no,Contribution_total_giving,Tickets___Total_Amount,Tickets_Number_of_Unique_Perfs,Donor_Category
120904,1320,1746.3,12,Under-Patron
120984,9150,27420.5,91,Under-Patron
121188,4420,9510.5,84,Under-Patron
121189,950,14876.97,55,Under-Patron
121619,15600,1192,3,Under-Patron
121789,450,16260.5,33,Under-Patron
122308,5555,395.5,3,Under-Patron
122694,45832.5,12866,35,Under-Patron
122740,586,3280.8,37,Under-Patron
122806,18550,11493.75,6,Under-Patron
123038,13200,6206.75,81,Under-Patron
124381,548,26843.5,90,Under-Patron
125157,300,1816,3,Under-Patron
125322,1928,4983.5,81,Under-Patron
125364,9000,,,Under-Patron
125639,9249,14106.5,74,Under-Patron
126376,1370,11357.95,83,Under-Patron
127007,1244,15260,54,Under-Patron
127679,5910,19786.5,40,Under-Patron
127851,533.6,6830.5,,Under-Patron
127859,10,568,4,Under-Patron
128433,100,7367,23,Under-Patron
128863,1725,17360.5,86,Under-Patron
129249,21158.5,6576.5,52,Under-Patron
129295,50587.5,22700.5,83,Under-Patron
129749,84602,15493,46,Under-Patron
130055,15750,15306,1,Under-Patron
131016,36125,7290.25,78,Under-Patron
131060,1005,500,3,Under-Patron
131423,1476.25,13728,83,Under-Patron
132092,78800,22427.75,103,Under-Patron
132467,41654,29570.25,99,Under-Patron
132602,4750,12143.5,56,Under-Patron
132691,181.9,3666,,Under-Patron
132703,3675,3449,36,Under-Patron
132741,13,242,,Under-Patron
132822,19712.75,33195.75,84,Under-Patron
133153,500,5891.25,23,Under-Patron
133330,6000,,,Under-Patron
133488,500,4993,11,Under-Patron
133580,2720,2907,33,Under-Patron
133649,1450,30734.5,93,Under-Patron
133894,200,13127.5,86,Under-Patron
134482,200,5444.96,27,Under-Patron
134489,275,6445.75,78,Under-Patron
134588,97250,20456,98,Under-Patron
134608,5550,9360.5,39,Under-Patron
134848,450,20023.25,66,Under-Patron
134923,30375.2,329.75,13,Under-Patron
135116,419,3532.25,26,Under-Patron
135191,27150,,,Under-Patron
135300,2385,5932.5,41,Under-Patron
135467,9756.25,15931.5,87,Under-Patron
135729,697.5,9092.75,54,Under-Patron
136707,25,,,Under-Patron
138469,2255,7132.5,61,Under-Patron
139928,575,1939,1,Under-Patron
140576,4400,14827.81,50,Under-Patron
140899,645,2194,9,Under-Patron
140958,28.5,229,,Under-Patron
141772,200,39181.75,90,Under-Patron
141782,522,23907,58,Under-Patron
141987,45,4556,3,Under-Patron
142102,3150,7181.25,74,Under-Patron
142284,905,745,,Under-Patron
142689,150,5691.25,16,Under-Patron
143291,3600,11354.75,53,Under-Patron
143478,50,,,Under-Patron
143646,100,497,6,Under-Patron
144004,214.5,483,,Under-Patron
144252,868,17564.5,61,Under-Patron
144400,340,19049.5,42,Under-Patron
144857,1100,428,,Under-Patron
145148,5770,13138,92,Under-Patron
145158,1375,12341,40,Under-Patron
145341,205,50,,Under-Patron
145537,1500,168,1,Under-Patron
145598,1413,532.5,11,Under-Patron
146004,11053.5,8391.5,72,Under-Patron
146169,27588,2750,22,Under-Patron
146189,4136,16940,76,Under-Patron
146505,9800,23782,81,Under-Patron
146529,14422,15226,72,Under-Patron
146656,21299,23246,82,Under-Patron
147631,4748,13048.5,38,Under-Patron
147793,325,2034,1,Under-Patron
148087,8750,24057.42,79,Under-Patron
148673,230,6842.5,35,Under-Patron
148838,27610,33234.25,126,Under-Patron
149023,610,14602,23,Under-Patron
150354,2500,14939.5,84,Under-Patron
150656,431,7789.5,36,Under-Patron
151409,50,1752,9,Under-Patron
152491,3222.5,14048.5,82,Under-Patron
152519,1500,15471.5,92,Under-Patron
152910,450,7918.1,62,Under-Patron
152924,4011.5,7860.75,21,Under-Patron
153102,2698.5,8941,67,Under-Patron
153254,4875,24385,80,Under-Patron
153447,1915,15067.75,99,Under-Patron
153505,1055,3761.55,86,Under-Patron
153673,33.5,1530,3,Under-Patron
153950,3404,7652,16,Under-Patron
153983,3781.5,28164.5,89,Under-Patron
154129,6600,7018,71,Under-Patron
154286,65950,15413,24,Under-Patron
154338,4871,23387,93,Under-Patron
154339,570,9635,35,Under-Patron
154699,100,1561,10,Under-Patron
154841,443,3530,78,Under-Patron
154965,3547,61682.5,82,Under-Patron
155110,10937.5,12284.5,93,Under-Patron
155354,375,2238,6,Under-Patron
156060,750,2558,3,Under-Patron
156158,5611,13613.5,41,Under-Patron
156501,32.15,859,,Under-Patron
156603,362,7701.85,51,Under-Patron
156744,6045,17960,5,Under-Patron
156784,2570,6127,16,Under-Patron
156823,7633.5,6482,36,Under-Patron
157055,24683.46,31640.75,112,Under-Patron
157704,12050,5124.25,88,Under-Patron
158177,267,3958.5,2,Under-Patron
158244,970,2816.45,22,Under-Patron
158286,7875,49944.75,77,Under-Patron
158333,1375,5372.5,3,Under-Patron
158427,125,1356.51,1,Under-Patron
158519,90,2101.5,2,Under-Patron
159413,925,5221.5,84,Under-Patron
159791,600,540,,Under-Patron
159808,74324,26959.25,124,Under-Patron
159907,1250,9327.25,80,Under-Patron
160327,1706,9520.75,88,Under-Patron
160600,1750,430,,Under-Patron
160814,1225,8196.5,83,Under-Patron
160840,21093.5,27415.5,87,Under-Patron
160914,1794,5838,83,Under-Patron
161031,988.2,5142.25,49,Under-Patron
161065,925,926,9,Under-Patron
161382,4133,12694,76,Under-Patron
161436,21325,8441,27,Under-Patron
161655,706.5,16138,84,Under-Patron
162169,1325,8469.25,84,Under-Patron
162754,5929.5,16001.25,99,Under-Patron
163030,26376,13564.5,16,Under-Patron
163164,3381.5,18665,90,Under-Patron
163165,75,,,Under-Patron
163608,2525,27360.5,55,Under-Patron
164129,300,4674.5,15,Under-Patron
164277,700,30207,95,Under-Patron
164431,68.7,1789.5,17,Under-Patron
164835,7450,2980.5,22,Under-Patron
164871,6022.75,5217.5,85,Under-Patron
165658,250,17518,95,Under-Patron
166590,12.5,410,,Under-Patron
166833,513,2714.25,39,Under-Patron
166880,2145,7132,96,Under-Patron
166886,4310,23139.5,61,Under-Patron
167599,4905,19083,39,Under-Patron
167669,280,2911,10,Under-Patron
167849,175,4794.56,3,Under-Patron
168171,6015,3584,1,Under-Patron
168215,168710,67188,68,Under-Patron
168233,100,2297,15,Under-Patron
168441,3554,27526.5,84,Under-Patron
168895,1925,6661,27,Under-Patron
168932,9151.4,19835.5,81,Under-Patron
169064,11900,2592,3,Under-Patron
169233,2350,24856,81,Under-Patron
169323,103902.9,40556.25,114,Under-Patron
169337,1560,16231,46,Under-Patron
169650,175,748,8,Under-Patron
169897,11790.2,27459.5,88,Under-Patron
169988,2900,11359.5,65,Under-Patron
170032,10500,13945.5,82,Under-Patron
170591,500,1569,1,Under-Patron
170876,4407,8574,70,Under-Patron
170878,500,1724,,Under-Patron
170898,150,2031.25,5,Under-Patron
170952,5,335,1,Under-Patron
170967,4399.5,18799.5,84,Under-Patron
171026,3745,621.5,7,Under-Patron
171049,8800,,7,Under-Patron
171068,3475,3524,12,Under-Patron
171250,5,2059,6,Under-Patron
171349,300,5776.6,17,Under-Patron
171592,2290,2022,8,Under-Patron
171622,5,361,1,Under-Patron
171690,2148,12933.5,87,Under-Patron
174396,5420,12354.04,25,Under-Patron
174666,9250,2742,50,Under-Patron
175063,2673.25,6030.75,88,Under-Patron
175085,72,2716.5,,Under-Patron
175106,1625,15439,35,Under-Patron
175991,14065.75,11185.75,87,Under-Patron
176140,5,1273.75,20,Under-Patron
177101,313,3380.75,65,Under-Patron
177199,275,1404,7,Under-Patron
177647,8840,28566,91,Under-Patron
178802,2478,8114,,Under-Patron
179042,1800,40,1,Under-Patron
179064,3750,506,7,Under-Patron
179077,65675,27628.5,83,Under-Patron
179183,24278.58,26537.5,87,Under-Patron
179407,184,1126,17,Under-Patron
179543,53496.38,22682.75,12,Under-Patron
179646,110,9842.25,23,Under-Patron
179782,7720,31556.9,67,Under-Patron
179941,57963,11844,114,Under-Patron
180084,1925,11993,39,Under-Patron
180377,178,157,12,Under-Patron
180385,31548,18646,84,Under-Patron
180538,6750,5843.5,,Under-Patron
180800,6000,,,Under-Patron
180826,352,8594.75,132,Under-Patron
181244,38050,,2,Under-Patron
181839,3012.5,160,,Under-Patron
181990,890,11429.5,56,Under-Patron
182749,1113.5,2833.3,52,Under-Patron
184384,48578,22794.5,101,Under-Patron
184549,2739,20152.8,58,Under-Patron
184826,200,420,,Under-Patron
185227,18500,5596,,Under-Patron
185384,250,2264,12,Under-Patron
185564,2200,2628.25,29,Under-Patron
185590,12.5,200,,Under-Patron
186640,463,3827.5,62,Under-Patron
187686,4070,22144,91,Under-Patron
187879,242.2,2150.5,8,Under-Patron
188065,8507.25,7656.75,51,Under-Patron
188163,18040,7594,77,Under-Patron
188298,277.4,3907.6,9,Under-Patron
188727,7196,11965,68,Under-Patron
188867,676,10179.5,58,Under-Patron
189172,1450,452,1,Under-Patron
189255,150,14712,76,Under-Patron
189697,2550,21688.8,70,Under-Patron
189715,24864.5,53244.5,88,Under-Patron
190470,605,1180,1,Under-Patron
191937,890,9298.75,42,Under-Patron
192664,17.5,505,,Under-Patron
192750,555113.9,61306,118,Under-Patron
192942,16504,22725.24,104,Under-Patron
192972,1150,,1,Under-Patron
193240,1075,21089.5,83,Under-Patron
193594,50,7157.5,21,Under-Patron
193737,19610,2284.5,6,Under-Patron
193752,19346.5,42723.6,84,Under-Patron
193787,605.25,4159.3,80,Under-Patron
194226,150,11065.4,34,Under-Patron
194283,3150,4179.25,1,Under-Patron
194862,2650,22727.75,82,Under-Patron
194921,28394,3772,66,Under-Patron
195044,130000,29783.5,83,Under-Patron
195072,6000,3836.25,5,Under-Patron
196071,499,9605.5,39,Under-Patron
196495,180,50,,Under-Patron
196531,110621.2,16959.5,91,Under-Patron
196643,900,11806.5,32,Under-Patron
196967,4722.33,6915.6,55,Under-Patron
196970,5220,12074,94,Under-Patron
197121,1770,9623.5,42,Under-Patron
197133,83025,1946.5,21,Under-Patron
197210,400,13045.5,61,Under-Patron
197272,174931.08,6930,51,Under-Patron
197453,3220,6146.5,33,Under-Patron
198093,217.5,1769,2,Under-Patron
198150,57146.12,3349.1,,Under-Patron
198159,12518.25,6876,,Under-Patron
198482,1333.6,20270.5,145,Under-Patron
198493,39966.21,19756,95,Under-Patron
198541,3250,14521,38,Under-Patron
198873,5433.1,10410.25,87,Under-Patron
199415,749,1906,2,Under-Patron
200376,185,898,4,Under-Patron
200599,30,928,1,Under-Patron
200990,51800,40294.5,55,Under-Patron
202836,325,2698.5,15,Under-Patron
202931,3000,2535,5,Under-Patron
203046,60,13934.25,65,Under-Patron
203147,26271,49523.5,80,Under-Patron
203247,15053.18,2258.5,6,Under-Patron
204764,1725,10673,77,Under-Patron
205534,160424.8,56668.35,106,Under-Patron
205782,242.15,7222,,Under-Patron
206412,1770,7881.75,88,Under-Patron
206820,16411.33,14617.5,50,Under-Patron
206983,1,280,,Under-Patron
207299,1128,3752,37,Under-Patron
207690,950,1304,,Under-Patron
207725,3700,22983,94,Under-Patron
208241,650,5970.75,23,Under-Patron
208424,43,1727,7,Under-Patron
208571,460,160,,Under-Patron
208841,1600,,1,Under-Patron
209642,240,3520,20,Under-Patron
209677,778,6665,,Under-Patron
209696,1259,3612,37,Under-Patron
209715,5844.2,20373.75,96,Under-Patron
210288,7082.5,35458.5,92,Under-Patron
210743,12758,23512.6,102,Under-Patron
211471,12953.04,3429,10,Under-Patron
211571,46917,784,9,Under-Patron
211896,152050,34608.5,82,Under-Patron
212001,125,1213.25,,Under-Patron
212285,1850,4820.5,24,Under-Patron
212326,50,2395,19,Under-Patron
212518,1075,5123,25,Under-Patron
212644,8338.09,29481.25,108,Under-Patron
213478,565,16829.75,34,Under-Patron
213490,80,8752.3,11,Under-Patron
213570,1500,12354.75,75,Under-Patron
213949,3050,17473.5,57,Under-Patron
214014,1417,16477.5,89,Under-Patron
214461,695,7265.75,2,Under-Patron
214949,20,1079,,Under-Patron
215202,77.5,285,1,Under-Patron
215345,1800,6998.4,31,Under-Patron
215349,3520,10156,82,Under-Patron
215707,280,3300.75,53,Under-Patron
215817,15250,,,Under-Patron
216411,500,150,2,Under-Patron
216481,2000,,,Under-Patron
216980,475,16288.25,84,Under-Patron
217870,23825,,,Under-Patron
217893,13400,5784,39,Under-Patron
217945,1943,7692.11,96,Under-Patron
218252,7255.55,13703.5,82,Under-Patron
218264,50,2638,1,Under-Patron
218470,1750,5238,22,Under-Patron
218686,746.5,7766.51,61,Under-Patron
218705,1550,3201.25,76,Under-Patron
218842,262.5,17407.5,71,Under-Patron
219029,4666,20087.5,83,Under-Patron
219185,3914.5,12422.5,86,Under-Patron
219928,64,7008,7,Under-Patron
220633,600,2396,8,Under-Patron
220681,1150,26622.5,70,Under-Patron
220721,4002,30224.5,98,Under-Patron
221153,10,6928.75,17,Under-Patron
221463,250,5077.5,19,Under-Patron
221533,28850,,4,Under-Patron
221785,114223.7,45140,122,Under-Patron
222646,150,7157.5,30,Under-Patron
223427,400,4378,4,Under-Patron
223615,50,1637,5,Under-Patron
223676,300,12837.25,1,Under-Patron
223869,5,596,2,Under-Patron
223918,829.3,5772,67,Under-Patron
224465,111525,50693.5,104,Under-Patron
224532,250,3544,7,Under-Patron
225157,122668.76,28946.75,145,Under-Patron
225522,2300,8690.25,72,Under-Patron
226342,500,877.5,7,Under-Patron
226467,2750,12849.5,44,Under-Patron
226624,100,2387,26,Under-Patron
227038,550,13296,3,Under-Patron
227171,50,429.5,9,Under-Patron
227188,1165,2646,19,Under-Patron
227536,100,,,Under-Patron
227642,7544,26267.65,89,Under-Patron
227891,1800,1440,20,Under-Patron
228007,6410,5733.5,4,Under-Patron
228461,800,4226.25,54,Under-Patron
229091,781,8743,16,Under-Patron
229261,8165,8632.25,13,Under-Patron
229936,152.5,19619.5,67,Under-Patron
230017,2750,14652.75,24,Under-Patron
230034,11255,14920.5,63,Under-Patron
230277,9073.5,4116,77,Under-Patron
230311,1075,11928.5,32,Under-Patron
230344,50,7833.25,21,Under-Patron
230646,10,115,2,Under-Patron
230703,2950,5105.3,61,Under-Patron
230705,1477.2,33465,88,Under-Patron
230815,1100,9936,19,Under-Patron
231195,350,,1,Under-Patron
231306,250,4266,1,Under-Patron
231990,2902,771,4,Under-Patron
232040,10,1016.6,3,Under-Patron
232141,14150,9304.75,23,Under-Patron
232487,7106,9501.25,17,Under-Patron
232499,1.25,2143.75,4,Under-Patron
232764,60,460,2,Under-Patron
232786,5005,10751.5,105,Under-Patron
232867,27.1,976,7,Under-Patron
232995,2800,420,1,Under-Patron
233106,1175,14415.22,69,Under-Patron
233309,9105.4,11191.5,48,Under-Patron
233617,420,10378.5,78,Under-Patron
234090,762,4011,81,Under-Patron
234369,208.5,7479,66,Under-Patron
235038,62.75,1252,2,Under-Patron
235324,200,1434,32,Under-Patron
235849,815,4648.8,3,Under-Patron
236132,2600,12011.5,60,Under-Patron
236346,10,1892.5,,Under-Patron
236506,5500,7387.6,47,Under-Patron
237071,13779.37,3742.5,28,Under-Patron
237229,7160.5,12952.5,57,Under-Patron
237692,730,2525,2,Under-Patron
237904,15,776,2,Under-Patron
238203,5660,17383.5,89,Under-Patron
238263,93250,31452.5,83,Under-Patron
238402,4200,6102.75,82,Under-Patron
238800,17850,32924,34,Under-Patron
238967,8491,11412,70,Under-Patron
239469,360,8807,52,Under-Patron
239482,200,1718,,Under-Patron
239834,375,2026.25,58,Under-Patron
240190,33200,,,Under-Patron
240326,1169,40697,88,Under-Patron
240621,300,2070,3,Under-Patron
240798,7357.5,5099,62,Under-Patron
241040,35276,18345.25,62,Under-Patron
241227,200,9604.75,84,Under-Patron
241514,2398,12448.5,43,Under-Patron
241575,8000,1889.1,2,Under-Patron
241601,150,3863,26,Under-Patron
241701,3635.6,19410,96,Under-Patron
241720,50,900,4,Under-Patron
241968,44013.5,17778.75,52,Under-Patron
242117,100,8120.5,65,Under-Patron
242277,350,7542.5,31,Under-Patron
242761,15074,6533.5,87,Under-Patron
242835,35000,11890,50,Under-Patron
243231,100,530,1,Under-Patron
243734,11892.5,14905,71,Under-Patron
243885,938.17,1430,6,Under-Patron
244178,2600,2581.75,10,Under-Patron
244241,1334,10608.5,75,Under-Patron
244418,116.25,8016.5,81,Under-Patron
244419,3410,2808,83,Under-Patron
244576,15264,12505.5,49,Under-Patron
244672,3012,16545,81,Under-Patron
244696,43629.83,33055.5,82,Under-Patron
245048,605,7934.4,87,Under-Patron
245061,14000,10292,68,Under-Patron
245085,610,2660,54,Under-Patron
245105,63250,12766,31,Under-Patron
245263,8150,15261.5,59,Under-Patron
245522,21000,35645.5,58,Under-Patron
245728,200,4534,33,Under-Patron
246267,23259.5,11082.5,96,Under-Patron
246385,1850,11230.5,75,Under-Patron
246401,500,14815.5,48,Under-Patron
246526,4115,14977,82,Under-Patron
246686,450,1779,20,Under-Patron
246692,2500,7678.75,50,Under-Patron
246800,6780,19232.5,29,Under-Patron
246875,100,,1,Under-Patron
247244,16.5,1280,4,Under-Patron
247318,400,13957.5,10,Under-Patron
247359,17220,6779,29,Under-Patron
247778,357,13902.5,36,Under-Patron
247975,4708,13986.5,86,Under-Patron
248060,552.5,13789.5,53,Under-Patron
248127,1500,4584,10,Under-Patron
248178,49160,10215.75,87,Under-Patron
248286,1100,30940.5,51,Under-Patron
248359,1,975,5,Under-Patron
248615,42.6,2946,15,Under-Patron
248701,1725,3540.55,27,Under-Patron
248798,100,50,1,Under-Patron
248846,1775,5333,14,Under-Patron
248867,3000,2116.5,4,Under-Patron
248936,198,2703,34,Under-Patron
249445,7.8,5805.25,64,Under-Patron
249466,150,2916,2,Under-Patron
249555,5750,13516,78,Under-Patron
249701,46500,2711.25,14,Under-Patron
249707,1800,15382.5,66,Under-Patron
249783,10,818,5,Under-Patron
249809,10,15614.75,76,Under-Patron
249927,714,11485.5,52,Under-Patron
249986,15.2,4385.8,15,Under-Patron
250232,25573,13208.5,85,Under-Patron
250533,19.5,1813,5,Under-Patron
250828,1250,6381.75,75,Under-Patron
250883,30500,32036.75,81,Under-Patron
251546,5050,7536.75,79,Under-Patron
251780,63,6096.55,72,Under-Patron
252064,30,2084,1,Under-Patron
252160,34578.49,8574.5,3,Under-Patron
252173,144,6178,14,Under-Patron
252220,200,1482.5,10,Under-Patron
252240,41029,13045,70,Under-Patron
252267,25,1142.5,12,Under-Patron
252347,3000,22998.5,72,Under-Patron
252695,150,1594.5,10,Under-Patron
252750,47700,11136.5,27,Under-Patron
252772,5100,18504,62,Under-Patron
252805,26.25,2728,2,Under-Patron
253246,2,2431,18,Under-Patron
253433,136.6,1980,17,Under-Patron
253538,1550,7952.5,9,Under-Patron
253568,128.5,2440,22,Under-Patron
253588,18,3068,3,Under-Patron
253760,1369.2,10671.5,79,Under-Patron
253775,74.5,5040,24,Under-Patron
253843,12150,,1,Under-Patron
500451,30,566,2,Under-Patron
500970,15546,18890,36,Under-Patron
501022,347,2593,12,Under-Patron
501326,3100,2166,2,Under-Patron
2209850,18560,16724,84,Under-Patron
2209918,93,8913.05,67,Under-Patron
2209931,725,10736.5,67,Under-Patron
2209986,350,9097.5,54,Under-Patron
2210165,600,2415,7,Under-Patron
2210228,3525,5541.78,10,Under-Patron
2210276,250,14999.5,68,Under-Patron
2210420,275,23866,75,Under-Patron
2211155,1137,1645,16,Under-Patron
2211271,100,546,2,Under-Patron
2211512,80,4219,24,Under-Patron
2211675,1100,5955.5,8,Under-Patron
2211687,1250,5548.25,51,Under-Patron
2211696,155,7415,39,Under-Patron
2212006,1498,8070.25,50,Under-Patron
2213706,150,4711.5,29,Under-Patron
2213914,12,4552,24,Under-Patron
2214101,215,549,1,Under-Patron
2214787,466,6839.85,75,Under-Patron
2215035,500,20444,21,Under-Patron
2215867,368.9,1754.5,16,Under-Patron
2215898,70,2533.8,,Under-Patron
2216247,1100,590.5,2,Under-Patron
2216347,127,2451,,Under-Patron
2216563,5470.04,849.25,10,Under-Patron
2216627,3770,18424.5,58,Under-Patron
2216744,550,11702,28,Under-Patron
2217110,300,4611,58,Under-Patron
2217115,60057,10312.5,79,Under-Patron
2217790,308.5,7676.25,70,Under-Patron
2217885,11,8209.75,14,Under-Patron
2218100,1,1094,2,Under-Patron
2218182,1844.6,8328,40,Under-Patron
2218640,10,2754.5,,Under-Patron
2218888,146900,33526,76,Under-Patron
2219282,1042,11012.25,71,Under-Patron
2219478,1608.5,8511.5,71,Under-Patron
2219754,200,230,1,Under-Patron
2219793,170,4920.5,73,Under-Patron
2220342,9875,494,2,Under-Patron
2220759,60750,7441.5,32,Under-Patron
2220969,1110,5562,63,Under-Patron
2220986,17.5,1190,2,Under-Patron
2220991,160,10854.25,39,Under-Patron
2221006,53,4352.75,54,Under-Patron
2221601,275,,,Under-Patron
2221811,10,110,1,Under-Patron
2222457,500,,,Under-Patron
2222694,2500.6,8137.25,20,Under-Patron
2222868,200,7433,6,Under-Patron
2223206,645,17248.5,85,Under-Patron
2223451,15,940,1,Under-Patron
2223468,25,8139,3,Under-Patron
2223501,5039,16065,60,Under-Patron
2223858,116.8,3760.25,17,Under-Patron
2224486,354.8,5198,18,Under-Patron
2224812,3800,7761,18,Under-Patron
2224957,190,1317,2,Under-Patron
2225747,27.75,2119,4,Under-Patron
2225850,8150,8525,17,Under-Patron
2226133,1400,2133.75,4,Under-Patron
2226174,11,3729.5,20,Under-Patron
2226554,359.6,13744.25,70,Under-Patron
2226955,10,2462,2,Under-Patron
2227797,426,3010,42,Under-Patron
2227826,1474,25623.5,7,Under-Patron
2227891,600,4593.5,22,Under-Patron
2228092,350,225,,Under-Patron
2228240,10,270,,Under-Patron
2228278,1375,2777,8,Under-Patron
2228390,10700,23304,65,Under-Patron
2228404,877.8,3497,31,Under-Patron
2228995,650,4658,1,Under-Patron
2229035,57750,,1,Under-Patron
2229053,10,10359.5,7,Under-Patron
2229284,6400,14987.5,55,Under-Patron
2229363,100,6879,3,Under-Patron
2229515,3700,420,1,Under-Patron
2229832,50,4120.5,16,Under-Patron
2229850,150,2551.75,26,Under-Patron
2230146,5,326.4,1,Under-Patron
2230241,17,3117,16,Under-Patron
2230281,526,10431,9,Under-Patron
2230317,2600,8029.75,75,Under-Patron
2230450,1350,6412.25,57,Under-Patron
2230965,1450,7453.25,66,Under-Patron
2231366,11058,28880,72,Under-Patron
2231817,595,4934.5,64,Under-Patron
2231894,210,10121,41,Under-Patron
2232354,250,7381,51,Under-Patron
2232905,72.5,924.5,3,Under-Patron
2233320,455.25,2262.15,42,Under-Patron
2233370,25,2561,,Under-Patron
2233525,17,590,9,Under-Patron
2233732,91.8,50,1,Under-Patron
2233790,617,5599.75,57,Under-Patron
2233797,54,7647.25,18,Under-Patron
2233828,618,8760,29,Under-Patron
2233908,3800,9352,31,Under-Patron
2233915,500,1673.75,3,Under-Patron
2233994,10,1066,3,Under-Patron
2234214,5,1467,17,Under-Patron
2234601,4005,195,1,Under-Patron
2234602,9500,4406.5,3,Under-Patron
2234883,10,1203.5,10,Under-Patron
2234981,7760,11815.75,65,Under-Patron
2235169,1005,6506.5,51,Under-Patron
2235950,2440,100,1,Under-Patron
2236071,385,1604.5,10,Under-Patron
2236145,35101.3,16608.2,14,Under-Patron
2236305,252.5,6308,29,Under-Patron
2236430,2400,3992.75,52,Under-Patron
2236602,8825,8921.75,52,Under-Patron
2236902,890,10375.5,54,Under-Patron
2237176,250,2270.5,2,Under-Patron
2237264,512.8,6277.5,14,Under-Patron
2237265,24000,5136.25,58,Under-Patron
2237445,1335,4097,60,Under-Patron
2237588,669,1299,6,Under-Patron
2237613,250,250,2,Under-Patron
2237676,19500,12153,42,Under-Patron
2237827,32538.28,8502,6,Under-Patron
2237866,10650.2,5154,11,Under-Patron
2237912,355.25,1157.75,10,Under-Patron
2238119,260.5,8601,45,Under-Patron
2238532,19600.09,8703,30,Under-Patron
2238707,32847.5,15518,43,Under-Patron
2238848,19250.1,16353.5,57,Under-Patron
2239041,50,1625.6,4,Under-Patron
2239190,37.5,2033.5,,Under-Patron
2239407,25470,11076,6,Under-Patron
2239462,1020,5542.5,25,Under-Patron
2239512,1100,1113,2,Under-Patron
2239612,4760,4159,63,Under-Patron
2239919,510.5,2650,17,Under-Patron
2240194,12.25,1154.5,14,Under-Patron
2240204,845,10382.25,61,Under-Patron
2240352,25,368,3,Under-Patron
2240458,100,1506.5,1,Under-Patron
2240508,146883,52354.75,87,Under-Patron
2240624,18,1457.75,6,Under-Patron
2240625,2575,3008.5,23,Under-Patron
2240982,901.8,5471,26,Under-Patron
2241087,4,702,2,Under-Patron
2241201,356.63,6598,5,Under-Patron
2241354,352,2971.5,44,Under-Patron
2241377,2000,800,1,Under-Patron
2241764,25040,14662.5,41,Under-Patron
2241884,245.5,988.8,1,Under-Patron
2242287,875,1113,4,Under-Patron
2242323,80,2248,8,Under-Patron
2242591,120,3307,35,Under-Patron
2242595,81971.6,1684.5,22,Under-Patron
2242886,1350,15780,16,Under-Patron
2243172,50,18535.5,36,Under-Patron
2243304,850,,,Under-Patron
2243309,15,670,1,Under-Patron
2243530,1,2463,22,Under-Patron
2243650,5135,1808,31,Under-Patron
2243667,97,2853.5,8,Under-Patron
2244011,631.5,4738.7,40,Under-Patron
2244049,188,4475,4,Under-Patron
2244061,27191,19019,5,Under-Patron
2244664,2250,7615,47,Under-Patron
2244673,1850,19702.5,41,Under-Patron
2244858,25,1296.5,9,Under-Patron
2244969,3326,15899,33,Under-Patron
2245220,22750,8124.8,19,Under-Patron
2245286,300,,,Under-Patron
2245390,250,25526.5,33,Under-Patron
2245481,19670,36526,63,Under-Patron
2245596,2592.55,8721.1,53,Under-Patron
2245602,8521,20065.1,60,Under-Patron
2245653,838,11485,33,Under-Patron
2245728,1450,6841,15,Under-Patron
2246203,2000,1584.25,9,Under-Patron
2246487,88.25,2631,,Under-Patron
2246506,700,8782.65,25,Under-Patron
2246616,1300,5641,25,Under-Patron
2246693,378,3816.5,33,Under-Patron
2246719,184,8139.5,45,Under-Patron
2246744,179.5,1930,1,Under-Patron
2247032,10,670,,Under-Patron
2247126,600,5378.75,54,Under-Patron
2247310,6000,7617.5,55,Under-Patron
2247494,18.5,1015,4,Under-Patron
2247539,22250,9501,72,Under-Patron
2247608,1650,5504,27,Under-Patron
2247677,5650,9192.5,56,Under-Patron
2247686,8131.5,13059.5,38,Under-Patron
2247748,7000,6364.75,35,Under-Patron
2247762,3950,22228.25,56,Under-Patron
2248156,1190178.82,37741.6,25,Under-Patron
2248275,4026,1405.75,27,Under-Patron
2248289,2900,18621.5,53,Under-Patron
2248436,3555,5593.25,55,Under-Patron
2248506,4.5,1639.75,28,Under-Patron
2248613,1594,5246.6,53,Under-Patron
2248780,3308.5,2157,21,Under-Patron
2248868,212.5,13429.5,31,Under-Patron
2248869,10,875.75,42,Under-Patron
2248936,318,5254.5,3,Under-Patron
2248980,100,,,Under-Patron
2249146,214,10585.25,46,Under-Patron
2249343,31578.68,8986.5,,Under-Patron
2249406,38750,32755,50,Under-Patron
2249625,1500,21178,34,Under-Patron
2250154,15250,180,1,Under-Patron
2250261,300,7764.5,23,Under-Patron
2250466,50,7412,38,Under-Patron
2250471,108.8,3004.5,2,Under-Patron
2250533,10,80,,Under-Patron
2250658,11000,23215,57,Under-Patron
2250669,950.75,4155.75,33,Under-Patron
2250688,406.5,1777,11,Under-Patron
2250841,1285.25,1724,8,Under-Patron
2250961,931.25,2123,1,Under-Patron
2251067,115,1497,5,Under-Patron
2251457,78.76,,7,Under-Patron
2251674,3013,3076,43,Under-Patron
2251680,50,2357.25,3,Under-Patron
2251927,1101231.65,46734.15,,Under-Patron
2252061,24.91,1567.35,14,Under-Patron
2252254,127,690,,Under-Patron
2252326,1,164,,Under-Patron
2252581,750,7800,46,Under-Patron
2252705,50,6591,7,Under-Patron
2252745,4300,11646,11,Under-Patron
