customer no,Difference between Earliest Engagement and First Donation,First Contribution Amount,Donor Category
164835,7442.00,100,Under-Patron
164871,6002.75,25,Under-Patron
165658,238.00,100,Under-Patron
166590,0.50,100,Under-Patron
166833,506.00,1000,Under-Patron
166880,2126.00,50,Under-Patron
166886,4289.00,250,Under-Patron
167599,4891.00,100,Under-Patron
167669,278.00,50,Under-Patron
167849,159.00,250,Under-Patron
168171,6009.00,100,Under-Patron
168215,168696.00,250,Under-Patron
168233,96.00,500,Under-Patron
168441,3538.00,25,Under-Patron
168895,1922.00,50,Under-Patron
168932,9146.40,25,Under-Patron
169064,11899.00,5,Under-Patron
169233,2329.00,20,Under-Patron
169323,103895.90,100,Under-Patron
169337,1554.00,50,Under-Patron
169650,166.00,5,Under-Patron
169897,11781.20,100,Under-Patron
169988,2892.00,25,Under-Patron
170032,10498.00,5,Under-Patron
170591,480.00,20,Under-Patron
170876,4392.00,250,Under-Patron
170878,493.00,50,Under-Patron
170898,132.00,120,Under-Patron
170952,1.00,25,Under-Patron
170967,4388.50,25,Under-Patron
171026,3724.00,15.75,Under-Patron
171049,8786.00,5,Under-Patron
171068,3461.00,20,Under-Patron
171250,-4.00,25,Under-Patron
171349,281.00,100,Under-Patron
171592,2288.00,1000,Under-Patron
171622,4.00,50,Under-Patron
171690,2146.00,125,Under-Patron
174396,5401.00,250,Under-Patron
174666,9230.00,108,Under-Patron
175063,2668.25,10,Under-Patron
175085,61.00,50,Under-Patron
175106,1611.00,20,Under-Patron
175991,14048.75,50,Under-Patron
176140,-10.00,50,Under-Patron
177101,294.00,100,Under-Patron
177199,274.00,20,Under-Patron
177647,8620.00,100,Under-Patron
178802,2462.00,100,Under-Patron
179042,1779.00,126,Under-Patron
179064,3748.00,50,Under-Patron
179077,65674.00,3000,Under-Patron
179183,24268.58,100,Under-Patron
179407,173.00,100,Under-Patron
179543,53475.38,25,Under-Patron
179646,93.00,250,Under-Patron
179782,7719.00,200,Under-Patron
179941,57960.00,500,Under-Patron
180084,1917.00,25,Under-Patron
180377,165.00,50,Under-Patron
180385,31547.00,12.5,Under-Patron
180538,6738.00,33,Under-Patron
180800,5982.00,50,Under-Patron
180826,345.00,25,Under-Patron
181244,38042.00,100,Under-Patron
181839,3002.50,1000,Under-Patron
181990,879.00,50,Under-Patron
182749,1095.50,23,Under-Patron
184384,48562.00,25,Under-Patron
184549,2736.00,100,Under-Patron
184826,185.00,50,Under-Patron
185227,18487.00,250,Under-Patron
185384,229.00,100,Under-Patron
185564,2198.00,125,Under-Patron
185590,-0.50,250,Under-Patron
186640,462.00,17.5,Under-Patron
187686,4053.00,150,Under-Patron
187879,223.20,4,Under-Patron
188065,8506.25,50,Under-Patron
188163,18032.00,25,Under-Patron
188298,267.40,50,Under-Patron
188727,7191.00,1000,Under-Patron
188867,655.00,1250,Under-Patron
189172,1432.00,50,Under-Patron
189255,137.00,50,Under-Patron
189697,2542.00,500,Under-Patron
189715,24842.50,50,Under-Patron
190470,590.00,25,Under-Patron
191937,877.00,2500,Under-Patron
192664,9.50,1000,Under-Patron
192750,555097.90,60,Under-Patron
192942,16503.00,25,Under-Patron
192972,1130.00,20,Under-Patron
193240,1062.00,50,Under-Patron
193594,32.00,100,Under-Patron
193737,19592.00,70,Under-Patron
193752,19336.50,100,Under-Patron
193787,599.25,250,Under-Patron
194226,131.00,50,Under-Patron
194283,3135.00,2500,Under-Patron
194862,2636.00,15,Under-Patron
194921,28389.00,5,Under-Patron
195044,129994.00,1000,Under-Patron
195072,5996.00,250,Under-Patron
196071,479.00,1000,Under-Patron
196495,161.00,25,Under-Patron
196531,110606.20,250,Under-Patron
196643,884.00,90,Under-Patron
196967,4719.33,258,Under-Patron
196970,5215.00,85,Under-Patron
197121,1766.00,15,Under-Patron
197133,83006.00,50,Under-Patron
197210,389.00,50,Under-Patron
197272,174925.08,0,Under-Patron
197453,3201.00,50,Under-Patron
198093,211.50,200,Under-Patron
198150,57138.12,100,Under-Patron
198159,12502.25,100,Under-Patron
198482,1312.60,250,Under-Patron
198493,39958.21,5.75,Under-Patron
198541,3240.00,25,Under-Patron
198873,5424.10,200,Under-Patron
199415,748.00,1,Under-Patron
200376,176.00,50,Under-Patron
200599,28.00,50,Under-Patron
200990,51780.00,50,Under-Patron
202836,310.00,100,Under-Patron
202931,2997.00,28,Under-Patron
203046,56.00,50,Under-Patron
203147,26258.00,40,Under-Patron
203247,15047.18,500,Under-Patron
204764,1718.00,50,Under-Patron
205534,149404.80,90,Under-Patron
205782,230.15,100,Under-Patron
206412,1751.00,50,Under-Patron
206820,16406.33,25,Under-Patron
206983,-1.00,12500,Under-Patron
207299,1114.00,3000,Under-Patron
207690,948.00,50,Under-Patron
207725,3691.00,25,Under-Patron
208241,647.00,50,Under-Patron
208424,41.00,0,Under-Patron
208571,439.00,250,Under-Patron
208841,1590.00,100,Under-Patron
209642,231.00,30,Under-Patron
209677,762.00,100,Under-Patron
209696,1244.00,50,Under-Patron
209715,5825.20,17,Under-Patron
210288,7071.50,250,Under-Patron
210743,12754.00,20,Under-Patron
211471,12949.04,50,Under-Patron
211571,46901.00,150,Under-Patron
211896,152034.00,300,Under-Patron
212001,109.00,15,Under-Patron
212285,1849.00,500,Under-Patron
212326,31.00,25,Under-Patron
212518,1072.00,125,Under-Patron
212644,8321.09,50,Under-Patron
213478,546.00,100,Under-Patron
213490,78.00,50,Under-Patron
213570,1490.00,250,Under-Patron
213949,3033.00,25,Under-Patron
214014,1408.00,100,Under-Patron
214461,680.00,50,Under-Patron
214949,0.00,250,Under-Patron
215202,61.50,50,Under-Patron
215345,1791.00,50,Under-Patron
215349,3518.00,100,Under-Patron
215707,268.00,50,Under-Patron
215817,15229.00,250,Under-Patron
216411,484.00,10,Under-Patron
216481,1996.00,50,Under-Patron
216980,455.00,600,Under-Patron
217870,23813.00,50,Under-Patron
217893,13390.00,100,Under-Patron
217945,1936.00,50,Under-Patron
218252,7245.55,100,Under-Patron
218264,47.00,5,Under-Patron
218470,1737.00,80,Under-Patron
218686,727.50,2500,Under-Patron
218705,1542.00,250,Under-Patron
218842,242.50,3000,Under-Patron
219029,4652.00,100,Under-Patron
219185,3911.50,100,Under-Patron
219928,55.00,100,Under-Patron
220633,591.00,100,Under-Patron
220681,1136.00,100,Under-Patron
220721,4001.00,50,Under-Patron
221153,6.00,600,Under-Patron
221463,235.00,50,Under-Patron
221533,28844.00,100,Under-Patron
221785,114212.70,250,Under-Patron
222646,134.00,25,Under-Patron
223427,389.00,180,Under-Patron
223615,35.00,50,Under-Patron
223676,283.00,52.5,Under-Patron
223869,-8.00,250,Under-Patron
223918,817.30,25,Under-Patron
224465,111507.00,33,Under-Patron
224532,238.00,50,Under-Patron
225157,122654.76,50,Under-Patron
225522,2295.00,10,Under-Patron
226342,486.00,75,Under-Patron
226467,2738.00,50,Under-Patron
226624,91.00,500,Under-Patron
227038,544.00,100,Under-Patron
227171,45.00,150,Under-Patron
227188,1160.00,10,Under-Patron
227536,94.00,100,Under-Patron
227642,7537.00,21,Under-Patron
227891,1791.00,1.25,Under-Patron
228007,6408.00,10,Under-Patron
228461,779.00,50,Under-Patron
229091,677.00,27.1,Under-Patron
229261,8164.00,1000,Under-Patron
229936,137.50,25,Under-Patron
230017,2739.00,250,Under-Patron
230034,11240.00,20,Under-Patron
230277,9057.50,50,Under-Patron
230311,1061.00,8.5,Under-Patron
230344,47.00,57,Under-Patron
230646,9.00,100,Under-Patron
230703,2941.00,25,Under-Patron
230705,1464.20,150,Under-Patron
230815,1095.00,10,Under-Patron
231195,337.00,500,Under-Patron
231306,240.00,25,Under-Patron
231990,2887.00,500,Under-Patron
232040,5.00,130,Under-Patron
232141,14148.00,15,Under-Patron
232487,7088.00,50,Under-Patron
232499,-14.75,500,Under-Patron
232764,48.00,50,Under-Patron
232786,4993.00,100,Under-Patron
232867,17.10,250,Under-Patron
232995,2790.00,100,Under-Patron
233106,1174.00,100,Under-Patron
233309,9092.40,50,Under-Patron
233617,406.00,10,Under-Patron
234090,752.00,100,Under-Patron
234369,189.50,17,Under-Patron
235038,53.75,100,Under-Patron
235324,181.00,200,Under-Patron
235849,799.00,31.5,Under-Patron
236132,2598.00,1000,Under-Patron
236346,1.00,100,Under-Patron
236506,5485.00,250,Under-Patron
237071,13775.37,50,Under-Patron
237229,7144.50,6,Under-Patron
237692,710.00,100,Under-Patron
237904,4.00,50,Under-Patron
238203,5640.00,30,Under-Patron
238263,93234.00,250,Under-Patron
238402,4197.00,100,Under-Patron
238800,17840.00,100,Under-Patron
238967,8484.00,937.17,Under-Patron
239469,346.00,100,Under-Patron
239482,182.00,3,Under-Patron
239834,361.00,25,Under-Patron
240190,33185.00,10,Under-Patron
240326,1157.00,14,Under-Patron
240621,285.00,100,Under-Patron
240798,7341.50,50,Under-Patron
241040,35260.00,30,Under-Patron
241227,184.00,500,Under-Patron
241514,2383.00,50,Under-Patron
241575,7987.00,1500,Under-Patron
241601,138.00,250,Under-Patron
241701,3619.60,2000,Under-Patron
241720,43.00,100,Under-Patron
241968,43998.50,100,Under-Patron
242117,86.00,50,Under-Patron
242277,343.00,50,Under-Patron
242761,15062.00,50,Under-Patron
242835,34993.00,50,Under-Patron
243231,93.00,100,Under-Patron
243734,11877.50,250,Under-Patron
243885,932.17,16.5,Under-Patron
244178,2590.00,250,Under-Patron
244241,1322.00,250,Under-Patron
244418,104.25,100,Under-Patron
244419,3396.00,75,Under-Patron
244576,15251.00,50,Under-Patron
244672,3004.00,250,Under-Patron
244696,43613.83,100,Under-Patron
245048,596.00,250,Under-Patron
245061,13997.00,1,Under-Patron
245085,603.00,42.6,Under-Patron
245105,63231.00,100,Under-Patron
245263,8149.00,50,Under-Patron
245522,20987.00,50,Under-Patron
245728,193.00,1000,Under-Patron
246267,23251.50,48,Under-Patron
246385,1835.00,6,Under-Patron
246401,493.00,50,Under-Patron
246526,4099.00,100,Under-Patron
246686,444.00,5000,Under-Patron
246692,2493.00,100,Under-Patron
246800,6773.00,10,Under-Patron
246875,83.00,10,Under-Patron
247244,4.50,50,Under-Patron
247318,388.00,15.2,Under-Patron
247359,17202.00,25,Under-Patron
247778,352.00,19.5,Under-Patron
247975,4690.00,50,Under-Patron
248060,531.50,250,Under-Patron
248127,1485.00,50,Under-Patron
248178,49142.00,50,Under-Patron
248286,1096.00,30,Under-Patron
248359,-14.00,100,Under-Patron
248615,37.60,16,Under-Patron
248701,1719.00,100,Under-Patron
248798,80.00,14.5,Under-Patron
248846,1772.00,25,Under-Patron
248867,2993.00,1500,Under-Patron
248936,192.00,100,Under-Patron
249445,-4.20,1500,Under-Patron
249466,130.00,100,Under-Patron
249555,5743.00,26.25,Under-Patron
249701,46481.00,1,Under-Patron
249707,1794.00,23.6,Under-Patron
249783,-2.00,100,Under-Patron
249809,-2.00,5,Under-Patron
249927,705.00,18,Under-Patron
249986,-1.80,50,Under-Patron
250232,25565.00,30,Under-Patron
250533,16.50,30,Under-Patron
250828,1236.00,250,Under-Patron
250883,30491.00,25,Under-Patron
251546,5045.00,500,Under-Patron
251780,42.00,60,Under-Patron
252064,11.00,25,Under-Patron
252160,34564.49,25,Under-Patron
252173,137.00,100,Under-Patron
252220,196.00,250,Under-Patron
252240,41019.00,100,Under-Patron
252267,8.00,250,Under-Patron
252347,2983.00,50,Under-Patron
252695,142.00,100,Under-Patron
252750,47696.00,50,Under-Patron
252772,5092.00,70,Under-Patron
252805,21.25,100,Under-Patron
253246,-14.00,100,Under-Patron
253433,123.60,25,Under-Patron
253538,1540.00,10,Under-Patron
253568,119.50,50,Under-Patron
253588,7.00,12,Under-Patron
253760,1366.20,100,Under-Patron
253775,54.50,25,Under-Patron
253843,12137.00,500,Under-Patron
500451,25.00,100,Under-Patron
500970,15540.00,10,Under-Patron
501022,344.00,100,Under-Patron
501326,3098.00,117.5,Under-Patron
2209850,18548.00,120,Under-Patron
2209918,76.00,70,Under-Patron
2209931,709.00,50,Under-Patron
2209986,337.00,100,Under-Patron
2210165,588.00,1500,Under-Patron
2210228,3504.00,3,Under-Patron
2210276,234.00,11,Under-Patron
2210420,271.00,1,Under-Patron
2211155,1126.00,100,Under-Patron
2211271,98.00,10,Under-Patron
2211512,66.00,5000,Under-Patron
2211675,1084.00,50,Under-Patron
2211687,1233.00,8.5,Under-Patron
2211696,154.00,50,Under-Patron
2212006,1481.00,20,Under-Patron
2213706,149.00,75,Under-Patron
2213914,5.00,250,Under-Patron
2214101,195.00,25,Under-Patron
2214787,463.00,17.5,Under-Patron
2215035,484.00,100,Under-Patron
2215867,352.90,1,Under-Patron
2215898,68.00,10,Under-Patron
2216247,1088.00,1250,Under-Patron
2216347,116.00,50,Under-Patron
2216563,5454.04,60,Under-Patron
2216627,3768.00,15,Under-Patron
2216744,543.00,25,Under-Patron
2217110,283.00,100,Under-Patron
2217115,60041.00,100,Under-Patron
2217790,294.50,20,Under-Patron
2217885,-3.00,100,Under-Patron
2218100,-6.00,100,Under-Patron
2218182,1839.60,27.75,Under-Patron
2218640,1.00,100,Under-Patron
2218888,146891.00,250,Under-Patron
2219282,1029.00,11,Under-Patron
2219478,1590.50,0,Under-Patron
2219754,194.00,10,Under-Patron
2219793,158.00,25,Under-Patron
2220342,9861.00,54,Under-Patron
2220759,60742.00,100,Under-Patron
2220969,1109.00,100,Under-Patron
2220986,16.50,10,Under-Patron
2220991,148.00,100,Under-Patron
2221006,39.00,250,Under-Patron
2221601,269.00,100,Under-Patron
2221811,0.00,400,Under-Patron
2222457,494.00,10,Under-Patron
2222694,2487.60,100,Under-Patron
2222868,192.00,100,Under-Patron
2223206,642.00,100,Under-Patron
2223451,7.00,40,Under-Patron
2223468,19.00,50,Under-Patron
2223501,5033.00,5,Under-Patron
2223858,107.80,16,Under-Patron
2224486,344.80,100,Under-Patron
2224812,3783.00,250,Under-Patron
2224957,175.00,50,Under-Patron
2225747,15.75,25,Under-Patron
2225850,8136.00,50,Under-Patron
2226133,1388.00,15,Under-Patron
2226174,-3.00,20,Under-Patron
2226554,346.60,2.5,Under-Patron
2226955,4.00,25,Under-Patron
2227797,414.00,50,Under-Patron
2227826,1472.00,12.5,Under-Patron
2227891,595.00,17,Under-Patron
2228092,349.00,91.8,Under-Patron
2228240,-8.00,1,Under-Patron
2228278,1365.00,4,Under-Patron
2228390,10688.00,100,Under-Patron
2228404,861.80,100,Under-Patron
2228995,643.00,500,Under-Patron
2229035,57745.00,10,Under-Patron
2229053,6.00,5,Under-Patron
2229284,6398.00,1000,Under-Patron
2229363,89.00,250,Under-Patron
2229515,3696.00,10,Under-Patron
2229832,32.00,50,Under-Patron
2229850,132.00,50,Under-Patron
2230146,4.00,720,Under-Patron
2230241,7.00,35,Under-Patron
2230281,511.00,1950,Under-Patron
2230317,2588.00,52.5,Under-Patron
2230450,1338.00,100,Under-Patron
2230965,1440.00,25,Under-Patron
2231366,11043.00,20,Under-Patron
2231817,590.00,50,Under-Patron
2231894,200.00,25,Under-Patron
2232354,235.00,100,Under-Patron
2232905,61.50,50,Under-Patron
2233320,449.25,30,Under-Patron
2233370,23.00,250,Under-Patron
2233525,5.00,250,Under-Patron
2233732,79.80,100,Under-Patron
2233790,609.00,100,Under-Patron
2233797,46.00,100,Under-Patron
2233828,605.00,31.5,Under-Patron
2233908,3787.00,125.04,Under-Patron
2233915,486.00,70,Under-Patron
2233994,-10.00,500,Under-Patron
2234214,-4.00,50,Under-Patron
2234601,4002.00,25,Under-Patron
2234602,9488.00,70,Under-Patron
2234883,1.00,100,Under-Patron
2234981,7758.00,350,Under-Patron
2235169,989.00,35,Under-Patron
2235950,2434.00,250,Under-Patron
2236071,376.00,7.25,Under-Patron
2236145,35085.30,25,Under-Patron
2236305,250.50,25,Under-Patron
2236430,2396.00,100,Under-Patron
2236602,8809.00,1000,Under-Patron
2236902,880.00,5,Under-Patron
2237176,237.00,30,Under-Patron
2237264,502.80,100,Under-Patron
2237265,23996.00,4,Under-Patron
2237445,1326.00,50,Under-Patron
2237588,662.00,14,Under-Patron
2237613,248.00,1000,Under-Patron
2237676,19485.00,140,Under-Patron
2237827,32537.28,26.1,Under-Patron
2237866,10645.20,50,Under-Patron
2237912,349.25,50,Under-Patron
2238119,247.50,10,Under-Patron
2238532,19544.09,1058.69,Under-Patron
2238707,32834.50,100,Under-Patron
2238848,19238.10,50,Under-Patron
2239041,48.00,15,Under-Patron
2239190,28.50,1,Under-Patron
2239407,25461.00,125,Under-Patron
2239462,1009.00,50,Under-Patron
2239512,1084.00,2.5,Under-Patron
2239612,4747.00,10,Under-Patron
2239919,497.50,25,Under-Patron
2240194,4.25,100,Under-Patron
2240204,830.00,100,Under-Patron
2240352,18.00,25,Under-Patron
2240458,86.00,100,Under-Patron
2240508,146869.00,250,Under-Patron
2240624,17.00,100,Under-Patron
2240625,2568.00,250,Under-Patron
2240982,888.80,1200,Under-Patron
2241087,-14.00,25,Under-Patron
2241201,339.63,25,Under-Patron
2241354,341.00,88,Under-Patron
2241377,1990.00,100,Under-Patron
2241764,25034.00,500,Under-Patron
2241884,241.50,25.75,Under-Patron
2242287,862.00,50,Under-Patron
2242323,71.00,100,Under-Patron
2242591,112.00,10,Under-Patron
2242595,81967.60,100,Under-Patron
2242886,1348.00,50,Under-Patron
2243172,45.00,10,Under-Patron
2243304,837.00,100,Under-Patron
2243309,9.00,250,Under-Patron
2243530,-2.00,18.5,Under-Patron
2243650,5123.00,250,Under-Patron
2243667,87.00,50,Under-Patron
2244011,627.50,250,Under-Patron
2244049,184.00,250,Under-Patron
2244061,27184.00,100,Under-Patron
2244664,2243.00,100,Under-Patron
2244673,1841.00,1000,Under-Patron
2244858,21.00,500,Under-Patron
2244969,3315.00,250,Under-Patron
2245220,22737.00,5,Under-Patron
2245286,292.00,4.5,Under-Patron
2245390,237.00,100,Under-Patron
2245481,19666.00,100,Under-Patron
2245596,2579.55,100,Under-Patron
2245602,8517.00,10,Under-Patron
2245653,830.00,20,Under-Patron
2245728,1442.00,100,Under-Patron
2246203,1986.00,100,Under-Patron
2246487,76.25,250,Under-Patron
2246506,685.00,250,Under-Patron
2246616,1299.00,500,Under-Patron
2246693,366.00,100,Under-Patron
2246719,180.00,50,Under-Patron
2246744,172.50,32.2,Under-Patron
2247032,9.00,10,Under-Patron
2247126,593.00,1500,Under-Patron
2247310,5988.00,15.75,Under-Patron
2247494,2.50,50,Under-Patron
2247539,22241.00,100,Under-Patron
2247608,1644.00,50,Under-Patron
2247677,5645.00,20,Under-Patron
2247686,6624.50,25,Under-Patron
2247748,6993.00,50,Under-Patron
2247762,3941.00,5000,Under-Patron
2248156,1190167.82,24.91,Under-Patron
2248275,4019.00,27,Under-Patron
2248289,2899.00,1,Under-Patron
2248436,3549.00,250,Under-Patron
2248506,-6.50,10,Under-Patron
2248613,1578.00,50,Under-Patron
2248780,3302.50,100,Under-Patron
2248868,203.50,10,Under-Patron
2248869,4.00,800,Under-Patron
2248936,306.00,100,Under-Patron
2248980,89.00,250,Under-Patron
2249146,203.00,50,Under-Patron
2249343,31571.68,100,Under-Patron
2249406,38746.00,250,Under-Patron
2249625,1493.00,60,Under-Patron
2250154,15243.00,200,Under-Patron
2250261,289.00,5,Under-Patron
2250466,48.00,10,Under-Patron
2250471,91.80,500,Under-Patron
2250533,1.00,10,Under-Patron
2250658,10984.00,50,Under-Patron
2250669,949.75,200,Under-Patron
2250688,404.50,10,Under-Patron
2250841,1267.25,21,Under-Patron
2250961,930.25,250,Under-Patron
2251067,103.00,250,Under-Patron
2251457,72.76,100,Under-Patron
2251674,3000.00,150,Under-Patron
2251680,35.00,50,Under-Patron
2251927,1101227.65,14.75,Under-Patron
2252061,22.91,50,Under-Patron
2252254,113.00,100,Under-Patron
2252326,-15.00,25,Under-Patron
2252581,742.00,50,Under-Patron
2252705,46.00,18.32,Under-Patron
2252745,4287.00,14.5,Under-Patron
2252857,1781.00,30,Under-Patron
2252880,8.00,1,Under-Patron
2253211,1447.00,15,Under-Patron
2253352,1529.00,100,Under-Patron
2253433,547.00,1,Under-Patron
2253838,3983.00,250,Under-Patron
2253852,92.00,100,Under-Patron
2253860,344.00,10,Under-Patron
2254145,45.00,20,Under-Patron
2254170,5893.00,500,Under-Patron
2255023,169.00,100,Under-Patron
2255261,9.00,150,Under-Patron
2255446,16502.50,25,Under-Patron
2255519,-3.00,20,Under-Patron
2255543,89.00,100,Under-Patron
2255693,3025.00,100,Under-Patron
2255757,5.00,250,Under-Patron
2255801,9357.00,100,Under-Patron
2255965,4048.00,50,Under-Patron
2255974,3748.00,100,Under-Patron
2256023,7244.00,35,Under-Patron
2256112,890.50,50,Under-Patron
2256272,209.00,7.25,Under-Patron
2256473,10.75,3000,Under-Patron
2256502,3086.00,5,Under-Patron
2256672,687.00,75,Under-Patron
2257773,333.50,10.5,Under-Patron
2257913,48.00,5,Under-Patron
2257996,5.32,250,Under-Patron
2258254,973.50,50,Under-Patron
2258293,95.00,5,Under-Patron
2258306,-13.00,2.25,Under-Patron
2258344,5.00,300,Under-Patron
2258355,1109.00,250,Under-Patron
2258488,-11.00,150,Under-Patron
2258822,19789.00,50,Under-Patron
2259039,81.00,50,Under-Patron
2259228,0.00,25,Under-Patron
2259345,926.00,25,Under-Patron
2259492,37499.00,61.5,Under-Patron
2259643,3584.00,500,Under-Patron
2259808,4423.00,10,Under-Patron
2259942,47.28,2500,Under-Patron
2259993,285.00,200,Under-Patron
2260277,20317.60,5,Under-Patron
2260406,97.00,50,Under-Patron
2260518,603.00,2500,Under-Patron
2260644,1688.00,10,Under-Patron
2260704,37.00,100,Under-Patron
2260992,95.00,5000,Under-Patron
2260994,54.00,5.55,Under-Patron
2261029,88.00,75,Under-Patron
2261302,635.25,1200,Under-Patron
2261470,76855.00,50,Under-Patron
2261581,17.00,250,Under-Patron
2261587,434961.85,20,Under-Patron
2261624,647.00,15,Under-Patron
2261926,6583.50,5,Under-Patron
2261951,38.00,500,Under-Patron
2261972,13557.00,350,Under-Patron
2262019,255.25,250,Under-Patron
2262287,22.00,9,Under-Patron
2262465,302.00,100,Under-Patron
2262675,291.00,100,Under-Patron
2262711,511.50,30,Under-Patron
2263001,3288.00,52.5,Under-Patron
2263036,372.00,100,Under-Patron
2263075,1564.00,100,Under-Patron
2263142,29.00,1,Under-Patron
2263665,29.00,100,Under-Patron
2263692,160.50,100,Under-Patron
2263817,8013.00,19.5,Under-Patron
2263827,3.00,31,Under-Patron
2263844,18240.00,40,Under-Patron
2263909,1298.00,3,Under-Patron
3001311,-5.00,100,Under-Patron
3005036,3197.00,25,Under-Patron
3005163,7497.00,100,Under-Patron
3005618,21.00,100,Under-Patron
3005631,1063.00,100,Under-Patron
3005810,7319.00,50,Under-Patron
3006075,-3.45,77.6,Under-Patron
3006086,135.00,250,Under-Patron
3006153,10221.00,10,Under-Patron
3006547,287.00,100,Under-Patron
3006574,451.50,100,Under-Patron
3006632,7.00,100,Under-Patron
3006646,6.00,100,Under-Patron
3006711,0.00,50,Under-Patron
3006795,6672.00,29.5,Under-Patron
3006841,344.00,37,Under-Patron
3006943,3312.89,100,Under-Patron
3006949,610.50,450,Under-Patron
3007029,8621.85,1,Under-Patron
3007216,197.00,1000,Under-Patron
3007224,535.00,250,Under-Patron
3007266,374.00,100,Under-Patron
3007332,2462.00,100,Under-Patron
3007473,190.00,250,Under-Patron
3007526,3284.00,5400,Under-Patron
3007586,-12.00,100,Under-Patron
3007640,28395.00,20,Under-Patron
3007840,793.00,250,Under-Patron
3007847,48.00,150,Under-Patron
3007850,26.00,50,Under-Patron
3007915,181.00,50,Under-Patron
3008009,-11.00,100,Under-Patron
3008044,144.00,100,Under-Patron
3008342,94.00,100,Under-Patron
3008402,30865.00,20,Under-Patron
3008416,846.00,25,Under-Patron
3008426,50053.00,250,Under-Patron
3008440,7998.00,25,Under-Patron
3008509,201.00,148,Under-Patron
3008602,5065.60,400,Under-Patron
3008810,38577.00,100,Under-Patron
3008856,172.10,100,Under-Patron
3008886,246.00,10,Under-Patron
3008890,1338.60,15,Under-Patron
3008941,141.00,50,Under-Patron
3009000,494.00,250,Under-Patron
3009044,472.00,100,Under-Patron
3009078,24.85,100,Under-Patron
3009151,33.00,100,Under-Patron
3009179,2547.00,27,Under-Patron
3009742,7551.00,250,Under-Patron
3009795,-3.00,12,Under-Patron
3009956,2007.00,50,Under-Patron
3009986,11291.00,27.75,Under-Patron
3010011,96.00,17,Under-Patron
3010034,444.00,50,Under-Patron
3010172,3535.00,50,Under-Patron
3010242,102944.50,20,Under-Patron
3010263,586.00,50,Under-Patron
3010463,1558.00,250,Under-Patron
3010481,16496.00,100,Under-Patron
3010587,139.00,1000,Under-Patron
3010595,19601.00,500,Under-Patron
3010607,248.00,50,Under-Patron
3010808,4288.00,100,Under-Patron
3010864,541.00,11,Under-Patron
3011131,595.00,100,Under-Patron
3011160,10.00,100,Under-Patron
3011359,65.00,250,Under-Patron
3011370,23.00,100,Under-Patron
3011557,10997.00,20,Under-Patron
3011856,417.00,50,Under-Patron
3012094,360.00,25,Under-Patron
3012405,46738.00,100,Under-Patron
3012661,11798.00,20,Under-Patron
3012713,17317.00,50,Under-Patron
3013046,11.00,250,Under-Patron
3013063,7.00,100,Under-Patron
3013095,2365.00,100,Under-Patron
3013176,21449.00,120,Under-Patron
3013269,27374.80,50,Under-Patron
3013322,109.00,1000,Under-Patron
3013433,315.00,100,Under-Patron
3013467,24.00,50,Under-Patron
3013931,1450.00,25,Under-Patron
3014159,8.00,3000,Under-Patron
3014441,253.50,2.5,Under-Patron
3014680,72.75,200,Under-Patron
3015080,11.00,55.5,Under-Patron
3015093,38.00,100,Under-Patron
3015239,141.00,500,Under-Patron
3015368,113.00,250,Under-Patron
3015503,39.00,50,Under-Patron
3015575,5989.00,100,Under-Patron
3015617,695.00,500,Under-Patron
3015702,1238.00,200,Under-Patron
3015793,7794.00,50,Under-Patron
3015996,241.00,100,Under-Patron
3015999,202.80,25,Under-Patron
3016584,4.00,50,Under-Patron
3016742,345.00,10,Under-Patron
3016939,467.20,250,Under-Patron
3017014,711.50,0,Under-Patron
3017138,92.00,200,Under-Patron
3017152,1042.00,10,Under-Patron
3017163,41.00,50,Under-Patron
3017302,5545.87,1,Under-Patron
3017326,355.00,10.25,Under-Patron
3017347,6.00,250,Under-Patron
3017562,195.00,25,Under-Patron
3017591,2240.00,20,Under-Patron
3017612,88.00,50,Under-Patron
3017718,7797.00,0,Under-Patron
3018004,108.00,250,Under-Patron
3018087,13336.00,20000,Under-Patron
3018392,992.00,4,Under-Patron
3018446,679.00,100,Under-Patron
3018731,39.00,10,Under-Patron
3018781,784.00,38.8,Under-Patron
3018941,20174.05,50,Under-Patron
3019044,1.50,100,Under-Patron
3019306,1575.00,250,Under-Patron
3020155,747.00,100,Under-Patron
3020597,52.50,10,Under-Patron
3020624,9076.50,22.5,Under-Patron
3020716,1248.00,250,Under-Patron
3020724,3313.40,100,Under-Patron
3020772,66.50,15,Under-Patron
3020787,847.00,13,Under-Patron
3020793,5491.00,100,Under-Patron
3020841,1741.00,25,Under-Patron
3020969,92.00,75,Under-Patron
3021037,222.50,50,Under-Patron
3021038,20.00,12,Under-Patron
3021228,45.00,250,Under-Patron
3021254,0.00,400,Under-Patron
3021297,1243.00,125,Under-Patron
3021299,647.00,10,Under-Patron
3021336,1091.00,100,Under-Patron
3021520,24.00,50,Under-Patron
3021575,103.00,250,Under-Patron
3021660,-8.00,250,Under-Patron
3021672,3.25,48,Under-Patron
3021783,538.00,250,Under-Patron
3021797,21.00,100,Under-Patron
3021931,21.00,250,Under-Patron
3021988,45.50,50,Under-Patron
3022126,10999.00,10,Under-Patron
3022176,6239.00,100,Under-Patron
3022216,183881.51,160.4,Under-Patron
3022220,9.00,100,Under-Patron
